Harga Aktual (Rp),Harga Prediksi (Rp),Residual
4040000000.0,2673202400.0,1366797568.0
1100000000.0,1493297000.0,-393297024.0
2250000000.0,2090335400.0,159664640.0
1800000000.0,1266760000.0,533240064.0
800000000.0,1024383100.0,-224383104.0
920000000.0,991740000.0,-71740032.0
1970000000.0,1734648700.0,235351296.0
1990000000.0,1669328500.0,320671488.0
3950000000.0,4741445000.0,-791445120.0
1250000000.0,1843582000.0,-593581952.0
5300000000.0,5759999000.0,-459998976.0
1110000000.0,1057953340.0,52046656.0
1870000000.0,1814411400.0,55588608.0
1590000000.0,1768719900.0,-178719872.0
1620000000.0,1768719900.0,-148719872.0
500000000.0,554165900.0,-54165888.0
750000000.0,739993200.0,10006784.0
600000000.0,715444350.0,-115444352.0
799000000.0,818683900.0,-19683904.0
799000000.0,818683900.0,-19683904.0
799000000.0,818683900.0,-19683904.0
959000000.0,988818050.0,-29818048.0
774000000.0,773550300.0,449728.0
995000000.0,1049532100.0,-54532096.0
1400000000.0,1334817200.0,65182848.0
1050000000.0,957450700.0,92549312.0
975000000.0,1087198000.0,-112197952.0
620000000.0,562770370.0,57229632.0
959000000.0,886867900.0,72132096.0
875000000.0,844063000.0,30937024.0
600000000.0,562770370.0,37229632.0
807000000.0,766588300.0,40411712.0
580000000.0,518433500.0,61566496.0
679000000.0,541661200.0,137338816.0
900000000.0,886867900.0,13132096.0
849000000.0,875741800.0,-26741824.0
880000000.0,829605500.0,50394496.0
695000000.0,735232300.0,-40232320.0
465000000.0,410726050.0,54273952.0
857000000.0,779334850.0,77665152.0
650000000.0,590851260.0,59148736.0
145000000.0,266194640.0,-121194640.0
1990000000.0,2445369600.0,-455369600.0
675000000.0,832501500.0,-157501504.0
350000000.0,410534140.0,-60534144.0
350000000.0,410534140.0,-60534144.0
2790000000.0,2747725600.0,42274432.0
2790000000.0,2747725600.0,42274432.0
2790000000.0,2747725600.0,42274432.0
750000000.0,739993200.0,10006784.0
400000000.0,465785660.0,-65785664.0
1350000000.0,1288909300.0,61090688.0
1350000000.0,1288909300.0,61090688.0
750000000.0,739993200.0,10006784.0
550000000.0,516021440.0,33978560.0
700000000.0,706497150.0,-6497152.0
682000000.0,554165900.0,127834112.0
2300000000.0,2402916000.0,-102916096.0
1200000000.0,1199017100.0,982912.0
4300000000.0,4468181000.0,-168180992.0
4500000000.0,4504935000.0,-4934912.0
1250000000.0,1231937800.0,18062208.0
2300000000.0,2146782500.0,153217536.0
2200000000.0,1875180300.0,324819712.0
410000000.0,408260300.0,1739712.0
